artist,track,date,danceability,energy,mood,track_id,mxm_track_id
Chuck Berry,Beautiful Delilah,8/4/1958,0.74,0.83,0.74,TRGDVCZ128F93268D6,3024719
Bill Doggett,Blip Blop,8/4/1958,0.64,0.72,0.88,TRQBOKW12903CD8CEC,1772891
Johnny Tillotson,Well I'm Your Man,10/6/1958,0.57,0.81,0.9,TRDMRSQ12903CC5CC9,4632136
Floyd Cramer,Flip Flop And Bop,4/28/1958,0.43,0.75,0.97,TRJIYMF128F428A211,8316141
Ray Price,Invitation To The Blues,9/8/1958,0.55,0.28,0.74,TRPYGGW128F427E1FA,3773697
Jimmy Reed,Down In Virginia,8/18/1958,0.75,0.19,0.65,TRCCBKN12903CEA43A,1120779
Jackie Wilson,We Have Love,9/29/1958,0.44,0.2,0.36,TRCFDVC128F931FB33,7423800
Jim Reeves,Billy Bayou,12/8/1958,0.71,0.14,0.7,TRHMGOP128F4295022,12585922
Johnny Cash,Big River,3/17/1958,0.72,0.55,0.91,TRGAXOG128F9315BE9,3964103
Bobby Darin,Mack The Knife,10/5/1959,0.5,0.48,0.76,TRBBDYD12903CE4DF7,7122758
Johnny Horton,The Battle Of New Orleans,6/1/1959,0.66,0.9,0.91,TRBCSVE12903D13D5C,1041977
Frankie Avalon,Venus,3/9/1959,0.42,0.59,0.67,TRAMERQ12903CD298D,9436541
Lloyd Price,Stagger Lee,2/9/1959,0.39,0.57,0.49,TRFKYCQ128F93176B0,3970539
Paul Anka,Lonely Boy,7/13/1959,0.56,0.56,0.78,TRIMLYM12903CE0509,3164534
Wilbert Harrison,Kansas City,5/18/1959,0.72,0.61,0.92,TRABRPX12903CF8E61,6800838
Elvis Presley,A Big Hunk O' Love,8/10/1959,0.55,0.47,0.73,TRQLZEC128F42A22C6,1823203
Frankie Avalon,Why,12/28/1959,0.42,0.31,0.58,TRFYSTQ12903CF0A6D,9436544
Lloyd Price,Personality,6/15/1959,0.38,0.56,0.83,TRALWXI128F92FBECE,2448697
Ritchie Valens,Donna,2/23/1959,0.21,0.21,0.41,TRBRTAI12903CDD56D,9639602
Phil Phillips,Sea Of Love,8/24/1959,0.28,0.21,0.28,TRDWUJP12903CE94ED,7817853
Bobby Darin,Dream Lover,6/8/1959,0.77,0.26,0.9,TRRXMOY12903CB89CE,7122761
Elvis Presley,(Now And Then There's) A Fool Such As I,4/27/1959,0.49,0.32,0.66,TRIVWQJ128F4289631,9838373
Dodie Stevens,Pink Shoe Laces,4/13/1959,0.53,0.71,0.87,TRASBHU128F9301174,2223796
Lloyd Price,I'm Gonna Get Married,9/14/1959,0.37,0.62,0.81,TRYNJYX128F149590C,9331220
Fabian,Tiger,7/20/1959,0.54,0.79,0.95,TREJMFX12903CD29CC,5528800
Brook Benton,It's Just A Matter Of Time,4/6/1959,0.26,0.2,0.68,TRECJRS12903CE0516,5074582
Stonewall Jackson,Waterloo,7/13/1959,0.58,0.62,0.91,TREQVSY128F92FDF03,597072
